BLOCKID,TOTAL_POP,TOTAL_HU,OCCUPIED,VACANT
371830501001023,0,1,0,1
371830504001027,0,0,0,0
371830501001115,0,0,0,0
371830509001014,0,0,0,0
371830509002006,207,69,58,11
371830509002005,0,0,0,0
371830501001109,0,0,0,0
371830501001062,5,6,4,2
371830509001009,199,81,80,1
371830501001090,202,200,137,63
371830501001011,0,0,0,0
371830509001004,0,0,0,0
371830509001003,2,1,1,0
371830503002013,122,127,90,37
371830510001017,15,12,12,0
371830501001029,0,0,0,0
371830501001016,0,0,0,0
371830501001025,0,0,0,0
371830501001024,0,0,0,0
371830501001041,2,1,1,0
371830501001067,0,0,0,0
371830504002002,70,23,23,0
371830501001064,0,0,0,0
371830510001019,0,0,0,0
371830501001096,122,0,0,0
371830501001034,0,0,0,0
371830501001035,0,0,0,0
371830501001005,0,0,0,0
371830501001037,26,37,18,19
371830501001068,3,2,2,0
371830501001047,27,19,15,4
371830501001038,0,0,0,0
371830501001048,3,1,1,0
371830501001079,0,0,0,0
371830501001054,41,30,29,1
371830501001039,0,0,0,0
371830501001056,0,0,0,0
371830509001016,668,2,2,0
371830509002000,0,0,0,0
371830510002007,57,14,13,1
371830509001007,0,0,0,0
371830501001110,156,139,138,1
371830501001116,21,13,7,6
371830501001013,0,0,0,0
371830501001093,72,60,48,12
371830501001031,78,84,59,25
371830501001027,0,0,0,0
371830501001051,0,0,0,0
371830504002004,29,16,16,0
371830510001021,0,0,0,0
371830501001100,0,0,0,0
371830501001053,31,29,24,5
371830501001107,22,10,9,1
371830509001002,28,33,13,20
371830504001029,0,0,0,0
371830509001025,0,0,0,0
371830501001074,2,2,2,0
371830501001094,0,0,0,0
371830509001012,0,0,0,0
371830501001086,5,3,2,1
371830507001003,27,13,10,3
371830501001095,2,1,1,0
371830501001104,71,52,46,6
371830507001010,137,113,100,13
371830501001108,24,17,14,3
371830509001015,1,1,1,0
371830501001103,0,0,0,0
371830501001097,230,0,0,0
371830510001016,10,12,9,3
371830501001032,0,0,0,0
371830501001105,20,14,11,3
371830501001014,0,0,0,0
371830503002012,0,0,0,0
371830501001083,0,0,0,0
371830501001058,0,0,0,0
371830501001078,93,274,61,213
371830501001008,3,0,0,0
371830501001040,0,0,0,0
371830501001088,540,0,0,0
371830501001089,0,0,0,0
371830501001091,0,0,0,0
371830509001005,0,0,0,0
371830504001028,0,0,0,0
371830501001055,0,0,0,0
371830510002006,2,1,1,0
371830510001020,18,14,14,0
371830503002007,8,8,7,1
371830501001061,0,0,0,0
371830510001018,46,31,30,1
371830504002003,81,38,38,0
371830501001012,0,0,0,0
371830501001066,0,0,0,0
371830501001050,9,8,6,2
371830501001102,0,0,0,0
371830501001101,0,0,0,0
371830501001098,0,1,0,1
371830501001028,2,0,0,0
371830501001117,11,8,5,3
371830504002013,335,1,1,0
371830510001000,0,0,0,0
371830501001070,0,0,0,0
371830501001087,2,1,1,0
371830504001017,68,50,44,6
371830501001030,0,0,0,0
371830501001114,0,0,0,0
371830501001111,0,0,0,0
371830509001023,0,0,0,0
371830512002021,5,2,2,0
371830509001024,0,0,0,0
371830510002001,0,0,0,0
371830501001007,0,0,0,0
371830509001022,0,0,0,0
371830511023004,870,0,0,0
371830503002016,114,114,95,19
371830510001014,12,8,6,2
371830510001001,0,0,0,0
371830510002000,0,0,0,0
371830501001009,0,0,0,0
371830501001092,0,0,0,0
371830501001076,0,0,0,0
371830501001059,0,0,0,0
371830503002000,2,2,2,0
371830501001073,0,0,0,0
371830503002018,0,0,0,0
371830510001013,33,82,27,55
371830510001022,38,35,31,4
371830501001033,0,0,0,0
371830501001015,41,0,0,0
371830501001081,70,58,53,5
371830501001026,0,0,0,0
371830501001006,0,0,0,0
371830501001080,0,0,0,0
371830501001085,0,0,0,0
371830501001065,0,0,0,0
371830501001052,0,0,0,0
371830501001010,0,0,0,0
371830501001084,0,0,0,0
371830501001112,0,0,0,0
371830501001099,2,1,1,0
371830509002009,0,0,0,0
371830510001002,21,13,13,0
371830503002006,44,36,34,2
371830501001060,0,0,0,0
371830501001036,0,0,0,0
371830501001075,0,0,0,0
371830501001082,0,0,0,0
371830501001057,4,4,1,3
371830501001072,289,0,0,0
371830509001013,0,0,0,0
371830504001020,336,165,161,4
371830510001003,57,54,42,12
371830503002019,18,12,11,1
371830501001077,0,0,0,0
371830501001071,0,0,0,0
371830501001113,0,0,0,0
371830501001063,0,0,0,0
371830501001069,0,0,0,0
371830501001042,0,0,0,0
371830501001106,127,80,78,2
371830509001006,0,0,0,0
